2014-03-20,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1169.80,1171.39,1145.90,1145.97,-,-
11,TOPIXコア30,東証,指数,614.23,615.70,602.15,602.97,-,-
12,TOPIXラージ70,東証,指数,1086.91,1088.06,1065.60,1066.48,-,-
13,TOPIX100,東証,指数,774.89,776.38,759.93,760.65,-,-
14,TOPIXミッド400,東証,指数,1262.14,1264.04,1233.39,1233.39,-,-
15,TOPIX500,東証,指数,912.06,913.29,893.20,893.59,-,-
16,TOPIXスモール,東証,指数,1363.59,1365.50,1334.03,1334.03,-,-
17,TOPIX1000,東証,指数,1106.83,1108.35,1084.04,1084.23,-,-
18,東証２部指数,東証,指数,3573.31,3573.31,3492.92,3497.52,-,-
19,東証マザーズ指数,東証,指数,790.01,791.69,753.47,756.80,-,-
20,東証REIT指数,東証,指数,1456.56,1459.26,1444.76,1444.76,-,-
21,東証規模別_大型,東証,指数,1117.08,1119.23,1095.51,1096.56,-,-
22,東証規模別_中型,東証,指数,1328.09,1330.09,1297.84,1297.84,-,-
23,東証規模別_小型,東証,指数,2013.07,2015.89,1969.43,1969.43,-,-
24,東証業種別_水産・農林業,東証,指数,266.79,267.11,262.54,262.89,-,-
25,東証業種別_鉱業,東証,指数,353.04,358.72,351.10,352.81,-,-
26,東証業種別_建設業,東証,指数,739.07,739.07,717.41,717.41,-,-
27,東証業種別_食料品,東証,指数,1185.38,1189.07,1162.55,1162.69,-,-
28,東証業種別_繊維製品,東証,指数,489.40,490.25,481.34,481.34,-,-
29,東証業種別_パルプ・紙,東証,指数,415.96,415.96,399.74,400.35,-,-
30,東証業種別_化学,東証,指数,1007.63,1008.43,986.68,986.68,-,-
31,東証業種別_医薬品,東証,指数,1870.06,1870.06,1838.18,1839.18,-,-
32,東証業種別_石油石炭製品,東証,指数,956.27,960.59,936.77,936.77,-,-
33,東証業種別_ゴム製品,東証,指数,2637.26,2638.26,2570.10,2570.10,-,-
34,東証業種別_ガラス土石製品,東証,指数,856.36,856.36,834.93,834.93,-,-
35,東証業種別_鉄鋼,東証,指数,550.74,551.43,534.05,536.19,-,-
36,東証業種別_非鉄金属,東証,指数,820.26,820.38,796.63,796.79,-,-
37,東証業種別_金属製品,東証,指数,1039.29,1042.11,1017.36,1017.36,-,-
38,東証業種別_機械,東証,指数,1282.83,1286.68,1252.68,1254.45,-,-
39,東証業種別_電気機器,東証,指数,1518.71,1523.08,1490.22,1492.23,-,-
40,東証業種別_輸送用機器,東証,指数,2482.98,2490.67,2427.81,2431.09,-,-
41,東証業種別_精密機器,東証,指数,3304.92,3314.14,3220.37,3220.37,-,-
42,東証業種別_その他製品,東証,指数,1270.90,1272.93,1246.99,1246.99,-,-
43,東証業種別_電気・ガス業,東証,指数,394.91,395.22,383.26,383.35,-,-
44,東証業種別_陸運業,東証,指数,1411.76,1411.85,1384.44,1385.90,-,-
45,東証業種別_海運業,東証,指数,390.77,391.49,382.54,382.54,-,-
46,東証業種別_空運業,東証,指数,195.23,195.24,191.82,191.86,-,-
47,東証業種別_倉庫運輸関連,東証,指数,1391.90,1396.05,1360.70,1362.94,-,-
48,東証業種別_情報・通信業,東証,指数,2402.67,2410.14,2357.39,2363.61,-,-
49,東証業種別_卸売業,東証,指数,1018.24,1022.65,1005.86,1005.86,-,-
50,東証業種別_小売業,東証,指数,769.91,771.37,757.90,757.90,-,-
51,東証業種別_銀行業,東証,指数,165.75,166.38,161.91,162.02,-,-
52,東証業種別_証券商品先物,東証,指数,427.74,431.64,419.16,420.11,-,-
53,東証業種別_保険業,東証,指数,643.29,643.29,625.47,629.45,-,-
54,東証業種別_その他金融業,東証,指数,485.58,489.24,479.05,484.96,-,-
55,東証業種別_不動産業,東証,指数,1512.58,1512.58,1464.63,1465.04,-,-
56,東証業種別_サービス業,東証,指数,1168.80,1169.22,1143.90,1145.12,-,-
60,TOPIX-バリュー,東証,指数,1373.27,1376.08,1344.94,1344.94,-,-
61,TOPIX-グロース,東証,指数,1442.83,1444.95,1414.23,1415.00,-,-
62,TOPIX500-バリュー,東証,指数,1343.09,1345.94,1315.68,1315.68,-,-
63,TOPIX500-グロース,東証,指数,1438.18,1440.28,1409.51,1410.60,-,-
64,TOPIXスモール-バリュー,東証,指数,1724.30,1726.58,1684.82,1684.82,-,-
65,TOPIXスモール-グロース,東証,指数,1496.67,1498.91,1466.08,1466.08,-,-
67,日経平均,東証,指数,14548.76,14548.76,14207.83,14224.23,-,-
