2014-02-28,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1216.64,1218.06,1202.67,1211.66,-,-
11,TOPIXコア30,東証,指数,639.33,639.93,631.43,635.47,-,-
12,TOPIXラージ70,東証,指数,1134.11,1135.19,1122.78,1131.68,-,-
13,TOPIX100,東証,指数,807.70,808.08,798.32,803.92,-,-
14,TOPIXミッド400,東証,指数,1316.96,1317.67,1299.84,1311.19,-,-
15,TOPIX500,東証,指数,950.05,951.20,939.08,946.20,-,-
16,TOPIXスモール,東証,指数,1396.13,1396.37,1380.25,1388.95,-,-
17,TOPIX1000,東証,指数,1151.52,1152.90,1138.25,1146.88,-,-
18,東証２部指数,東証,指数,3606.49,3607.68,3585.09,3592.17,-,-
19,東証マザーズ指数,東証,指数,834.44,843.97,830.37,837.20,-,-
20,東証REIT指数,東証,指数,1501.57,1504.90,1487.12,1504.90,-,-
21,東証規模別_大型,東証,指数,1164.38,1164.93,1150.86,1158.94,-,-
22,東証規模別_中型,東証,指数,1385.78,1386.53,1367.76,1379.71,-,-
23,東証規模別_小型,東証,指数,2061.11,2061.46,2037.66,2050.51,-,-
24,東証業種別_水産・農林業,東証,指数,270.07,271.57,268.59,270.02,-,-
25,東証業種別_鉱業,東証,指数,373.12,376.44,372.06,375.00,-,-
26,東証業種別_建設業,東証,指数,757.91,758.08,749.02,754.56,-,-
27,東証業種別_食料品,東証,指数,1231.07,1232.60,1218.18,1229.95,-,-
28,東証業種別_繊維製品,東証,指数,513.76,513.76,506.83,510.33,-,-
29,東証業種別_パルプ・紙,東証,指数,433.21,433.50,426.01,429.26,-,-
30,東証業種別_化学,東証,指数,1046.69,1047.65,1037.55,1044.48,-,-
31,東証業種別_医薬品,東証,指数,1936.48,1940.18,1917.47,1934.89,-,-
32,東証業種別_石油石炭製品,東証,指数,988.13,990.92,974.83,980.45,-,-
33,東証業種別_ゴム製品,東証,指数,2711.78,2716.77,2673.11,2695.42,-,-
34,東証業種別_ガラス土石製品,東証,指数,871.28,873.55,862.84,868.09,-,-
35,東証業種別_鉄鋼,東証,指数,583.92,583.92,576.23,579.99,-,-
36,東証業種別_非鉄金属,東証,指数,867.54,871.47,861.90,869.05,-,-
37,東証業種別_金属製品,東証,指数,1117.71,1124.17,1105.63,1121.35,-,-
38,東証業種別_機械,東証,指数,1367.81,1370.51,1350.34,1362.78,-,-
39,東証業種別_電気機器,東証,指数,1596.03,1602.35,1577.16,1591.39,-,-
40,東証業種別_輸送用機器,東証,指数,2608.57,2609.78,2573.91,2591.55,-,-
41,東証業種別_精密機器,東証,指数,3373.24,3404.38,3364.43,3395.93,-,-
42,東証業種別_その他製品,東証,指数,1320.90,1324.88,1308.29,1318.70,-,-
43,東証業種別_電気・ガス業,東証,指数,417.72,419.09,413.81,416.91,-,-
44,東証業種別_陸運業,東証,指数,1475.81,1477.22,1448.60,1471.99,-,-
45,東証業種別_海運業,東証,指数,427.47,429.05,422.46,426.40,-,-
46,東証業種別_空運業,東証,指数,200.66,200.86,198.05,199.47,-,-
47,東証業種別_倉庫運輸関連,東証,指数,1445.65,1445.65,1421.28,1430.41,-,-
48,東証業種別_情報・通信業,東証,指数,2430.80,2432.96,2393.76,2414.35,-,-
49,東証業種別_卸売業,東証,指数,1061.76,1063.05,1051.55,1058.92,-,-
50,東証業種別_小売業,東証,指数,781.45,781.83,769.21,774.42,-,-
51,東証業種別_銀行業,東証,指数,173.81,173.97,171.34,171.82,-,-
52,東証業種別_証券商品先物,東証,指数,453.56,454.96,445.38,449.35,-,-
53,東証業種別_保険業,東証,指数,653.70,658.22,650.71,657.41,-,-
54,東証業種別_その他金融業,東証,指数,515.37,515.43,502.37,509.63,-,-
55,東証業種別_不動産業,東証,指数,1532.26,1533.27,1502.78,1521.89,-,-
56,東証業種別_サービス業,東証,指数,1212.71,1213.56,1197.84,1206.48,-,-
60,TOPIX-バリュー,東証,指数,1431.37,1432.09,1416.25,1425.23,-,-
61,TOPIX-グロース,東証,指数,1500.23,1501.10,1480.09,1492.79,-,-
62,TOPIX500-バリュー,東証,指数,1402.49,1403.27,1387.67,1396.58,-,-
63,TOPIX500-グロース,東証,指数,1497.40,1498.34,1477.13,1490.02,-,-
64,TOPIXスモール-バリュー,東証,指数,1763.46,1763.66,1744.90,1754.51,-,-
65,TOPIXスモール-グロース,東証,指数,1534.15,1534.55,1515.36,1526.14,-,-
67,日経平均,東証,指数,14929.55,14943.65,14735.52,14841.07,-,-
68,日経500,東証,指数,1273.14,1273.14,1255.45,1265.50,-,-
69,日経300,東証,指数,248.02,248.12,245.07,246.92,-,-
70,東証17業種別_食品,東証,指数,210.55,210.81,208.38,210.36,-,-
71,東証17業種別_エネ,東証,指数,126.46,126.63,125.43,126.18,-,-
72,東証17業種別_建設,東証,指数,175.16,175.18,173.35,174.64,-,-
73,東証17業種別_素材,東証,指数,142.89,142.94,141.54,142.46,-,-
