2014-03-14,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1182.03,1182.79,1162.90,1164.70,-,-
11,TOPIXコア30,東証,指数,618.10,618.32,609.71,611.13,-,-
12,TOPIXラージ70,東証,指数,1103.84,1105.73,1083.70,1086.12,-,-
13,TOPIX100,東証,指数,782.73,783.50,770.90,772.48,-,-
14,TOPIXミッド400,東証,指数,1276.06,1277.69,1253.85,1254.95,-,-
15,TOPIX500,東証,指数,921.54,922.22,906.35,908.04,-,-
16,TOPIXスモール,東証,指数,1377.83,1380.48,1358.22,1358.22,-,-
17,TOPIX1000,東証,指数,1118.21,1118.97,1099.97,1101.83,-,-
18,東証２部指数,東証,指数,3619.75,3619.75,3590.98,3597.33,-,-
19,東証マザーズ指数,東証,指数,820.29,820.53,794.45,802.67,-,-
20,東証REIT指数,東証,指数,1460.15,1466.27,1454.20,1457.50,-,-
21,東証規模別_大型,東証,指数,1128.39,1129.49,1111.33,1113.61,-,-
22,東証規模別_中型,東証,指数,1342.74,1344.46,1319.37,1320.52,-,-
23,東証規模別_小型,東証,指数,2034.09,2038.00,2005.14,2005.14,-,-
24,東証業種別_水産・農林業,東証,指数,266.21,268.09,264.85,264.85,-,-
25,東証業種別_鉱業,東証,指数,368.45,371.44,363.00,364.53,-,-
26,東証業種別_建設業,東証,指数,750.91,754.19,741.66,741.69,-,-
27,東証業種別_食料品,東証,指数,1185.44,1188.08,1171.04,1171.04,-,-
28,東証業種別_繊維製品,東証,指数,498.46,499.18,489.93,489.93,-,-
29,東証業種別_パルプ・紙,東証,指数,422.35,422.92,414.20,414.35,-,-
30,東証業種別_化学,東証,指数,1014.49,1014.93,996.68,997.14,-,-
31,東証業種別_医薬品,東証,指数,1863.20,1867.28,1824.48,1825.88,-,-
32,東証業種別_石油石炭製品,東証,指数,963.71,965.88,950.79,952.87,-,-
33,東証業種別_ゴム製品,東証,指数,2654.89,2655.55,2610.69,2610.69,-,-
34,東証業種別_ガラス土石製品,東証,指数,860.24,862.94,846.18,849.07,-,-
35,東証業種別_鉄鋼,東証,指数,549.48,553.44,544.53,547.29,-,-
36,東証業種別_非鉄金属,東証,指数,824.77,826.12,814.68,816.13,-,-
37,東証業種別_金属製品,東証,指数,1053.27,1054.21,1039.68,1039.68,-,-
38,東証業種別_機械,東証,指数,1313.23,1314.56,1280.30,1282.09,-,-
39,東証業種別_電気機器,東証,指数,1538.65,1539.97,1510.21,1514.87,-,-
40,東証業種別_輸送用機器,東証,指数,2517.68,2518.95,2481.09,2483.04,-,-
41,東証業種別_精密機器,東証,指数,3344.34,3347.20,3275.98,3289.45,-,-
42,東証業種別_その他製品,東証,指数,1289.88,1293.09,1273.84,1274.53,-,-
43,東証業種別_電気・ガス業,東証,指数,411.80,411.91,400.09,400.26,-,-
44,東証業種別_陸運業,東証,指数,1433.54,1435.51,1411.77,1412.07,-,-
45,東証業種別_海運業,東証,指数,399.01,403.67,395.47,397.44,-,-
46,東証業種別_空運業,東証,指数,199.21,199.65,197.37,197.65,-,-
47,東証業種別_倉庫運輸関連,東証,指数,1395.90,1396.50,1374.84,1374.84,-,-
48,東証業種別_情報・通信業,東証,指数,2389.71,2394.80,2343.76,2349.73,-,-
49,東証業種別_卸売業,東証,指数,1025.96,1030.11,1017.69,1017.69,-,-
50,東証業種別_小売業,東証,指数,770.67,771.40,760.79,762.27,-,-
51,東証業種別_銀行業,東証,指数,167.53,167.67,165.38,165.76,-,-
52,東証業種別_証券商品先物,東証,指数,437.69,437.77,430.56,432.60,-,-
53,東証業種別_保険業,東証,指数,650.73,652.40,637.80,642.22,-,-
54,東証業種別_その他金融業,東証,指数,498.77,499.53,490.20,492.69,-,-
55,東証業種別_不動産業,東証,指数,1529.59,1529.90,1504.56,1524.68,-,-
56,東証業種別_サービス業,東証,指数,1179.36,1180.93,1157.86,1158.99,-,-
60,TOPIX-バリュー,東証,指数,1391.29,1393.23,1371.19,1373.04,-,-
61,TOPIX-グロース,東証,指数,1453.99,1454.79,1429.62,1431.75,-,-
62,TOPIX500-バリュー,東証,指数,1361.13,1363.19,1341.06,1343.34,-,-
63,TOPIX500-グロース,東証,指数,1448.88,1449.72,1424.24,1426.65,-,-
64,TOPIXスモール-バリュー,東証,指数,1741.56,1745.43,1717.80,1717.80,-,-
65,TOPIXスモール-グロース,東証,指数,1512.95,1515.64,1490.51,1490.51,-,-
67,日経平均,東証,指数,14526.28,14539.60,14280.75,14327.66,-,-
68,日経500,東証,指数,1234.38,1234.94,1212.85,1214.44,-,-
69,日経300,東証,指数,240.16,240.39,236.37,236.79,-,-
70,東証17業種別_食品,東証,指数,202.83,203.29,200.39,200.39,-,-
71,東証17業種別_エネ,東証,指数,124.00,124.52,122.32,122.64,-,-
72,東証17業種別_建設,東証,指数,171.98,172.33,169.75,169.82,-,-
73,東証17業種別_素材,東証,指数,138.54,138.62,136.14,136.16,-,-
74,東証17業種別_医薬,東証,指数,144.04,144.35,141.04,141.15,-,-
75,東証17業種別_自動,東証,指数,187.59,187.68,184.85,184.97,-,-
76,東証17業種別_鉄鋼,東証,指数,199.83,200.77,197.81,198.53,-,-
77,東証17業種別_機械,東証,指数,258.80,259.07,252.31,252.67,-,-
78,東証17業種別_電機,東証,指数,120.43,120.53,118.18,118.56,-,-
79,東証17業種別_情報,東証,指数,135.70,135.84,133.29,133.50,-,-
80,東証17業種別_電力,東証,指数,68.19,68.21,66.26,66.28,-,-
81,東証17業種別_運輸,東証,指数,122.53,122.69,120.89,120.89,-,-
82,東証17業種別_商社,東証,指数,249.29,250.30,247.28,247.28,-,-
83,東証17業種別_小売,東証,指数,133.88,134.01,132.16,132.42,-,-
84,東証17業種別_銀行,東証,指数,107.74,107.83,106.36,106.60,-,-
85,東証17業種別_金融,東証,指数,103.65,103.79,101.88,102.37,-,-
86,東証17業種別_不動,東証,指数,319.94,320.00,314.70,318.91,-,-
87,東証REITオフィス,東証,指数,1471.65,1479.86,1465.44,1469.95,-,-
88,東証REIT住宅,東証,指数,1812.51,1827.72,1808.35,1816.41,-,-
89,東証REIT商業,東証,指数,1879.25,1883.60,1866.76,1870.64,-,-
90,JQ-TOP20,JQ,指数,5497.23,5523.51,5359.01,5420.51,-,-
91,JQ-INDEX,JQ,指数,98.53,98.56,97.22,97.62,-,-
92,JQ-スタンダード,JQ,指数,207.55,207.59,204.78,205.58,-,-
93,JQ-グロース,JQ,指数,287.35,292.75,283.42,286.79,-,-
94,マザーズCore指数,東証,指数,2536.79,2561.57,2456.65,2494.15,-,-
95,日経JQ平均,JQ,指数,2056.36,2056.52,2036.59,2041.99,-,-
101-1406,日経225先物 2014年06月限,大証日中,先物,14360,14390,14190,14220,70780,1011963250
101-1406,日経225先物 2014年06月限,大証夜間,先物,14250,14320,14040,14240,46391,658996330
101-1409,日経225先物 2014年09月限,大証日中,先物,14350,14380,14190,14210,319,4561660
101-1409,日経225先物 2014年09月限,大証夜間,先物,14250,14310,14050,14220,108,1530580
101-1412,日経225先物 2014年12月限,大証日中,先物,14320,14320,14160,14170,18,256300
101-1412,日経225先物 2014年12月限,大証夜間,先物,14180,14220,13980,14220,18,253900
101-1503,日経225先物 2015年03月限,大証日中,先物,14320,14320,14280,14300,13,186010
101-1503,日経225先物 2015年03月限,大証夜間,先物,14150,14200,14010,14200,9,127320
101-1506,日経225先物 2015年06月限,大証日中,先物,14150,14150,14100,14100,5,70700
101-1506,日経225先物 2015年06月限,大証夜間,先物,13980,13980,13980,13980,5,69900
101-1509,日経225先物 2015年09月限,大証日中,先物,14150,14150,14150,14150,1,14150
101-1509,日経225先物 2015年09月限,大証夜間,先物,-,-,-,-,0,0
101-1512,日経225先物 2015年12月限,大証日中,先物,14000,14000,14000,14000,1,14000
101-1512,日経225先物 2015年12月限,大証夜間,先物,13960,13960,13960,13960,1,13960
101-1606,日経225先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
101-1606,日経225先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
101-1612,日経225先物 2016年12月限,大証日中,先物,-,-,-,-,0,0
101-1612,日経225先物 2016年12月限,大証夜間,先物,-,-,-,-,0,0
101-1706,日経225先物 2017年06月限,大証日中,先物,-,-,-,-,0,0
101-1706,日経225先物 2017年06月限,大証夜間,先物,-,-,-,-,0,0
101-1712,日経225先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
101-1712,日経225先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
101-1806,日経225先物 2018年06月限,大証日中,先物,-,-,-,-,0,0
101-1806,日経225先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
101-1812,日経225先物 2018年12月限,大証日中,先物,-,-,-,-,0,0
101-1812,日経225先物 2018年12月限,大証夜間,先物,-,-,-,-,0,0
102-1404,225mini先物 2014年04月限,大証日中,先物,14365,14380,14180,14200,65913,942063270
102-1404,225mini先物 2014年04月限,大証夜間,先物,14235,14310,14030,14235,37451,531532175
102-1405,225mini先物 2014年05月限,大証日中,先物,14370,14390,14185,14220,1732,24774595
102-1405,225mini先物 2014年05月限,大証夜間,先物,14250,14320,14035,14215,1072,15216185
102-1406,225mini先物 2014年06月限,大証日中,先物,14370,14390,14190,14220,460575,6586256462
102-1406,225mini先物 2014年06月限,大証夜間,先物,14240,14320,14040,14240,536608,7618344740
102-1407,225mini先物 2014年07月限,大証日中,先物,14370,14390,14175,14225,324,4633235
102-1407,225mini先物 2014年07月限,大証夜間,先物,14235,14305,14050,14220,265,3759830
102-1409,225mini先物 2014年09月限,大証日中,先物,14380,14390,14190,14220,4081,58346205
102-1409,225mini先物 2014年09月限,大証夜間,先物,14230,14315,14050,14235,2292,32478220
102-1412,225mini先物 2014年12月限,大証日中,先物,14290,14320,14120,14150,672,9575870
102-1412,225mini先物 2014年12月限,大証夜間,先物,14170,14240,13990,14190,495,6998300
102-1503,225mini先物 2015年03月限,大証日中,先物,14320,14320,14145,14195,137,1954860
102-1503,225mini先物 2015年03月限,大証夜間,先物,14200,14230,13995,14180,46,650185
102-1506,225mini先物 2015年06月限,大証日中,先物,14250,14250,14060,14090,50,708705
102-1506,225mini先物 2015年06月限,大証夜間,先物,14000,14115,13930,14115,24,336495
102-1509,225mini先物 2015年09月限,大証日中,先物,14250,14285,14165,14185,18,256075
102-1509,225mini先物 2015年09月限,大証夜間,先物,-,-,-,-,0,0
102-1512,225mini先物 2015年12月限,大証日中,先物,14100,14100,14000,14000,6,84160
102-1512,225mini先物 2015年12月限,大証夜間,先物,13895,14100,13550,13915,11,152945
102-1606,225mini先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
102-1606,225mini先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
102-1612,225mini先物 2016年12月限,大証日中,先物,14000,14000,14000,14000,1,14000
102-1612,225mini先物 2016年12月限,大証夜間,先物,13800,13800,13800,13800,1,13800
102-1706,225mini先物 2017年06月限,大証日中,先物,-,-,-,-,0,0
102-1706,225mini先物 2017年06月限,大証夜間,先物,-,-,-,-,0,0
102-1712,225mini先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
102-1712,225mini先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
102-1806,225mini先物 2018年06月限,大証日中,先物,13600,13600,13600,13600,1,13600
102-1806,225mini先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
